Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Uninjured,Safety_Score
Boeing,737,1353.1828412141235,389.9591641681614,25462.301758318572,23719.159752936288
Boeing,777,5.830696365888912,28.679283572709778,9440.30175831857,9405.791778379971
Boeing,747-400,91.4221169729507,46.07868654996793,6281.30175831857,6143.800954795652
Boeing,767,130.59142060706176,111.83964178635489,6370.325439579643,6127.894377186226
Mcdonnell douglas,Dc-10-10,112.94356545529632,67.83964178635489,6248.0,6067.216792758349
Mcdonnell douglas,Dc-10-30,24.53498606235804,27.11952238180652,5156.325439579643,5104.670931135478
Boeing,747,13.126406669419781,77.7988059545163,5063.952637477855,4973.027424853919
Boeing,757,48.53498606235804,14.239044763613036,4988.650879159285,4925.876848333314
Boeing,727-200,58.47855151765434,15.239044763613038,4369.325439579643,4295.607843298376
Boeing,737-300,178.66139273177794,43.478089527226075,4071.6271978982127,3849.4877156392085
