Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Uninjured,Fatalities_Per_Event
Boeing,727-200,58.47855151765434,15.239044763613038,4369.325439579643,73.71759628126738
Boeing,737,1353.1828412141235,389.9591641681614,25462.301758318572,1743.1420053822849
Boeing,737-300,178.66139273177794,43.478089527226075,4071.6271978982127,222.139482259004
Boeing,747,13.126406669419781,77.7988059545163,5063.952637477855,90.92521262393608
Boeing,747-400,91.4221169729507,46.07868654996793,6281.30175831857,137.50080352291863
Boeing,757,48.53498606235804,14.239044763613036,4988.650879159285,62.774030825971074
Boeing,767,130.59142060706176,111.83964178635489,6370.325439579643,242.43106239341665
Boeing,777,5.830696365888912,28.679283572709778,9440.30175831857,34.50997993859869
Boeing,Dc-10-30,1.2957103035308692,1.2798805954516292,5.0,2.5755908989824983
Douglas,Dc-10-10,0.6478551517654346,0.27988059545162935,458.0,0.927735747217064
Douglas,Dc-10-30,12.0,4.27988059545163,442.0,16.27988059545163
Mcdonnell douglas,Dc-10-10,112.94356545529632,67.83964178635489,6248.0,180.7832072416512
Mcdonnell douglas,Dc-10-30,24.53498606235804,27.11952238180652,5156.325439579643,51.65450844416456
Mcdonnell-douglas,Dc-10-10,0.0,1.0,154.0,1.0
Mcdonnell-douglas,Dc-10-30,0.0,0.0,207.0,0.0
